#f, meanDTcross, stdDTcross, Opt1_cross, Opt2_cross, Undec_cross, meanDTmddm, stdDTmddm, Opt1_mddm, Opt2_mdd, Undec_mddm
0.5,2.2134654,1.02387073077,0.6665,0.3335,0.0,1.90908958047,1.60337229876,0.6546000000000001,0.34529999999999994,0.0001
1.0,2.2957712,1.04299320115,0.6928,0.30720000000000003,0.0,2.0370551094,1.70173824755,0.6900999999999999,0.3098,0.0001
1.5,2.3285175,1.06927930725,0.6965999999999999,0.3034,0.0,2.04388901713,1.68404485312,0.7054,0.2941,0.0005
2.0,2.330057,1.05300602486,0.7032,0.2968,0.0,2.08216655332,1.68834169853,0.706,0.2934,0.0006000000000000001
2.5,2.3520837,1.0671633216,0.7007000000000001,0.2993,0.0,2.1045825,1.73741333167,0.7090000000000001,0.291,0.0
3.0,2.3558388,1.07482431687,0.7132999999999999,0.2867,0.0,2.13698228383,1.74356650213,0.7193,0.2804,0.00030000000000000003
3.5,2.3626535,1.06900210391,0.7051000000000001,0.29489999999999994,0.0,2.12416081743,1.71728444229,0.7104,0.28909999999999997,0.0005
4.0,2.3583209,1.06434599892,0.7144,0.2856,0.0,2.10082986574,1.70370549476,0.7229,0.2766,0.0005
4.5,2.3947775,1.09422444458,0.7018,0.29819999999999997,0.0,2.13031415088,1.74991237061,0.7162000000000001,0.2833,0.0005
5.0,2.3743308,1.07385296759,0.7112,0.2888,0.0,2.14268971269,1.76560608051,0.7202999999999999,0.2794,0.00030000000000000003
5.5,2.3780264,1.067482748,0.7176,0.28240000000000004,0.0,2.13689923013,1.70876214639,0.7188,0.28090000000000004,0.00030000000000000003
6.0,2.3778299,1.08400704477,0.7155,0.2845,0.0,2.1406836451,1.76007247427,0.7175999999999999,0.2822,0.0002
6.5,2.3669089,1.06184470723,0.7105,0.2895,0.0,2.14333924564,1.73922037852,0.734,0.26580000000000004,0.0002
7.0,2.3701922,1.08059923254,0.7046,0.2954,0.0,2.12941652469,1.70459958246,0.7216,0.2782,0.0002
7.5,2.3850179,1.07568455261,0.7079,0.2921,0.0,2.14846905449,1.74723005516,0.7232,0.27649999999999997,0.00030000000000000003
8.0,2.357443,1.06039883723,0.7125999999999999,0.2874,0.0,2.12863954583,1.7233729556,0.7223,0.2773,0.0004
8.5,2.3592557,1.06116715098,0.7123,0.2877,0.0,2.13723488127,1.75072060529,0.7226999999999999,0.2771,0.0002
9.0,2.3720021,1.07344018093,0.7122,0.2878,0.0,2.18586618534,1.77851626089,0.7242999999999999,0.2752,0.0005
9.5,2.3751672,1.07118343411,0.7067,0.2933,0.0,2.15126025546,1.74516960756,0.7208,0.27890000000000004,0.00030000000000000003
10.0,2.3794633,1.08733303816,0.7063999999999999,0.29359999999999997,0.0,2.12004616687,1.70264271818,0.725,0.2747,0.00030000000000000003
